user_id,recipe_id,rating,profile_tag
1,330038,4,meat_lover
1,418831,3,meat_lover
1,162748,3,meat_lover
1,397838,3,meat_lover
1,100001,4,meat_lover
1,273265,4,meat_lover
1,485819,4,meat_lover
1,424891,3,meat_lover
1,320640,3,meat_lover
1,384542,3,meat_lover
1,67055,4,meat_lover
1,62856,3,meat_lover
1,334732,5,meat_lover
1,241995,3,meat_lover
1,425656,3,meat_lover
1,342619,3,meat_lover
1,253429,4,meat_lover
1,241550,4,meat_lover
1,90802,3,meat_lover
1,204840,4,meat_lover
1,144910,3,meat_lover
1,57644,3,meat_lover
2,389095,1,healthy_eater
2,368987,2,healthy_eater
2,132246,1,healthy_eater
2,193877,3,healthy_eater
2,207281,3,healthy_eater
2,333221,1,healthy_eater
2,363888,3,healthy_eater
2,415010,1,healthy_eater
2,278380,1,healthy_eater
2,269932,2,healthy_eater
2,16648,1,healthy_eater
2,428416,4,healthy_eater
2,219271,4,healthy_eater
2,21669,5,healthy_eater
2,27743,3,healthy_eater
2,194844,3,healthy_eater
2,32938,3,healthy_eater
2,45012,3,healthy_eater
2,86120,1,healthy_eater
2,161648,4,healthy_eater
2,51184,3,healthy_eater
3,170826,3,sweet_tooth
3,132277,1,sweet_tooth
3,131996,1,sweet_tooth
3,132072,3,sweet_tooth
3,52192,4,sweet_tooth
3,484183,3,sweet_tooth
3,325495,3,sweet_tooth
3,151175,3,sweet_tooth
3,359311,4,sweet_tooth
3,311069,1,sweet_tooth
3,502683,3,sweet_tooth
3,412006,5,sweet_tooth
3,124290,2,sweet_tooth
3,335259,3,sweet_tooth
3,208778,4,sweet_tooth
3,117606,5,sweet_tooth
3,147569,4,sweet_tooth
3,157624,4,sweet_tooth
3,104089,5,sweet_tooth
3,306176,2,sweet_tooth
3,71483,4,sweet_tooth
3,173879,1,sweet_tooth
3,301528,5,sweet_tooth
3,338984,1,sweet_tooth
3,104297,3,sweet_tooth
3,240674,5,sweet_tooth
3,158545,5,sweet_tooth
3,361080,2,sweet_tooth
4,287259,1,spicy_lover
4,173376,1,spicy_lover
4,56609,4,spicy_lover
4,106501,4,spicy_lover
4,3471,4,spicy_lover
4,361822,3,spicy_lover
4,36830,4,spicy_lover
4,238741,5,spicy_lover
4,78873,4,spicy_lover
4,256542,4,spicy_lover
4,61540,4,spicy_lover
4,59475,4,spicy_lover
4,360201,3,spicy_lover
4,267828,1,spicy_lover
4,234159,3,spicy_lover
4,235395,5,spicy_lover
4,152094,3,spicy_lover
4,209731,4,spicy_lover
4,406470,3,spicy_lover
4,25520,4,spicy_lover
4,60629,4,spicy_lover
4,417103,4,spicy_lover
4,259677,4,spicy_lover
4,82987,3,spicy_lover
4,176906,1,spicy_lover
4,81622,1,spicy_lover
4,204506,4,spicy_lover
4,145669,3,spicy_lover
4,503379,3,spicy_lover
4,259271,4,spicy_lover
4,51003,4,spicy_lover
4,485687,4,spicy_lover
4,157175,2,spicy_lover
4,306811,2,spicy_lover
4,276229,5,spicy_lover
4,104636,3,spicy_lover
4,40297,3,spicy_lover
4,438452,3,spicy_lover
4,43672,3,spicy_lover
4,490470,1,spicy_lover
4,429856,5,spicy_lover
4,80148,4,spicy_lover
5,350581,1,pescatarian
5,223270,3,pescatarian
5,43688,3,pescatarian
5,485707,1,pescatarian
5,71587,4,pescatarian
5,48631,1,pescatarian
5,213533,3,pescatarian
5,126123,3,pescatarian
5,83957,1,pescatarian
5,99511,1,pescatarian
5,28552,1,pescatarian
5,415321,3,pescatarian
5,326739,1,pescatarian
5,26377,1,pescatarian
5,455887,3,pescatarian
5,423141,3,pescatarian
5,228238,3,pescatarian
5,417150,3,pescatarian
5,175757,1,pescatarian
5,110877,3,pescatarian
5,492443,1,pescatarian
5,18782,3,pescatarian
5,354339,1,pescatarian
5,253080,3,pescatarian
5,85899,1,pescatarian
5,96822,5,pescatarian
5,225205,1,pescatarian
5,441357,3,pescatarian
5,6650,1,pescatarian
5,194893,3,pescatarian
5,239751,3,pescatarian
5,337364,3,pescatarian
5,283370,1,pescatarian
5,322119,3,pescatarian
5,373370,3,pescatarian
5,91272,3,pescatarian
5,85885,1,pescatarian
5,312258,2,pescatarian
5,150646,1,pescatarian
6,334398,3,meat_lover
6,292798,3,meat_lover
6,246437,3,meat_lover
6,151249,3,meat_lover
6,226968,4,meat_lover
6,85909,2,meat_lover
6,435734,4,meat_lover
6,233055,3,meat_lover
6,109594,5,meat_lover
6,147709,3,meat_lover
6,80708,4,meat_lover
6,392901,4,meat_lover
6,11576,3,meat_lover
6,380256,5,meat_lover
6,324853,3,meat_lover
6,212481,4,meat_lover
6,179298,4,meat_lover
6,375109,4,meat_lover
6,319842,3,meat_lover
6,462371,3,meat_lover
6,217733,3,meat_lover
6,300798,4,meat_lover
6,175769,4,meat_lover
6,35953,3,meat_lover
6,452703,4,meat_lover
6,193974,4,meat_lover
6,30895,3,meat_lover
6,115007,3,meat_lover
6,168179,4,meat_lover
6,31897,4,meat_lover
6,415872,3,meat_lover
6,224705,4,meat_lover
6,113789,5,meat_lover
6,133645,3,meat_lover
6,156432,4,meat_lover
6,334732,4,meat_lover
6,281486,3,meat_lover
6,306112,4,meat_lover
6,104492,4,meat_lover
7,276698,1,vegetarian
7,99759,1,vegetarian
7,249362,3,vegetarian
7,30436,1,vegetarian
7,137142,2,vegetarian
7,280906,1,vegetarian
7,108857,4,vegetarian
7,241196,1,vegetarian
7,247267,3,vegetarian
7,142002,1,vegetarian
7,258497,3,vegetarian
7,184799,2,vegetarian
7,228240,1,vegetarian
7,70533,1,vegetarian
7,432965,5,vegetarian
7,182070,1,vegetarian
7,52565,3,vegetarian
8,75910,4,spicy_lover
8,351879,1,spicy_lover
8,428300,4,spicy_lover
8,23500,1,spicy_lover
8,10188,3,spicy_lover
8,211427,4,spicy_lover
8,182780,3,spicy_lover
8,471931,4,spicy_lover
8,252421,3,spicy_lover
8,419171,4,spicy_lover
8,120955,4,spicy_lover
8,281055,3,spicy_lover
8,91173,4,spicy_lover
8,40919,1,spicy_lover
8,284434,1,spicy_lover
8,91365,5,spicy_lover
8,314560,5,spicy_lover
8,215620,1,spicy_lover
8,324580,5,spicy_lover
8,161559,4,spicy_lover
8,327460,3,spicy_lover
8,276141,5,spicy_lover
8,203794,3,spicy_lover
8,30911,3,spicy_lover
8,326866,5,spicy_lover
8,211418,4,spicy_lover
8,170883,4,spicy_lover
8,259017,1,spicy_lover
8,177654,3,spicy_lover
8,217727,1,spicy_lover
8,367317,4,spicy_lover
8,11089,4,spicy_lover
8,496840,4,spicy_lover
8,143644,1,spicy_lover
8,163704,4,spicy_lover
8,284561,4,spicy_lover
8,452189,3,spicy_lover
8,208045,1,spicy_lover
8,165200,1,spicy_lover
8,10965,3,spicy_lover
8,159876,4,spicy_lover
8,294397,3,spicy_lover
8,193963,3,spicy_lover
8,185973,3,spicy_lover
8,235732,3,spicy_lover
9,218596,3,sweet_tooth
9,26742,4,sweet_tooth
9,235203,1,sweet_tooth
9,202080,1,sweet_tooth
9,13839,1,sweet_tooth
9,124475,5,sweet_tooth
9,285491,4,sweet_tooth
9,13080,3,sweet_tooth
9,410952,3,sweet_tooth
9,33191,5,sweet_tooth
9,456896,5,sweet_tooth
9,172003,2,sweet_tooth
9,305814,3,sweet_tooth
9,294872,3,sweet_tooth
9,15274,1,sweet_tooth
9,150886,4,sweet_tooth
9,337637,3,sweet_tooth
9,386901,3,sweet_tooth
9,179069,5,sweet_tooth
9,76475,3,sweet_tooth
9,256476,3,sweet_tooth
9,191845,4,sweet_tooth
9,503855,5,sweet_tooth
9,22219,4,sweet_tooth
9,21326,4,sweet_tooth
9,116926,3,sweet_tooth
9,473969,2,sweet_tooth
9,369241,3,sweet_tooth
9,98864,1,sweet_tooth
9,72035,4,sweet_tooth
9,401142,3,sweet_tooth
9,312540,3,sweet_tooth
9,44564,2,sweet_tooth
9,76720,4,sweet_tooth
9,264196,4,sweet_tooth
9,248471,3,sweet_tooth
9,232622,3,sweet_tooth
9,81934,2,sweet_tooth
9,240889,5,sweet_tooth
9,98812,3,sweet_tooth
9,150671,3,sweet_tooth
9,449244,2,sweet_tooth
9,146505,4,sweet_tooth
9,298883,1,sweet_tooth
9,319979,3,sweet_tooth
10,302440,1,healthy_eater
10,257963,1,healthy_eater
10,476068,2,healthy_eater
10,372489,3,healthy_eater
10,141365,4,healthy_eater
10,446409,3,healthy_eater
10,84365,2,healthy_eater
10,94410,2,healthy_eater
10,13359,3,healthy_eater
10,460727,2,healthy_eater
